PUZZLE,CATEGORY,DATE USED,WHEN USED
ANYTHING IS POSSIBLE,Phrase,9/16/13 (#5851),T1
READY FREDDY,Rhyme Time,9/16/13 (#5851),T2
COMING THROUGH WITH FLYING COLORS,What Are You Doing?,9/16/13 (#5851),R1
STICKY SITUATION COMEDY,Before & After,9/16/13 (#5851),R2
FLOATING DOWN A LAZY RIVER,Fun & Games,9/16/13 (#5851),R3*
THEATER BALCONY,Place,9/16/13 (#5851),T3
A REAL SHOWSTOPPER,Thing,9/16/13 (#5851),R4
BACK IN THE DAY,Phrase,9/16/13 (#5851),BR
ROLL THE DICE,Phrase,9/17/13 (#5852),T1
ROCK OF AGES,Title,9/17/13 (#5852),T2
CORNER CURIO CABINET,Thing,9/17/13 (#5852),R1
OUTER SPACE HEATER,Before & After,9/17/13 (#5852),R2
DIVING NEAR CORAL REEFS,Fun & Games,9/17/13 (#5852),R3*
THE OPPOSING TEAM,People,9/17/13 (#5852),T3
ROMANTIC GONDOLA RIDE,Event,9/17/13 (#5852),R4
FLUFFY PILLOWS,Around the House,9/17/13 (#5852),R5
PREVIOUS OCCUPANT,Person,9/17/13 (#5852),BR
LUXURY SUITES,Places,9/18/13 (#5853),T1
COOKED TO ORDER,Phrase,9/18/13 (#5853),T2
OUTSTANDING DRAMA SERIES,Show Biz,9/18/13 (#5853),R1
MEMBERS-ONLY CLUB SANDWICH,Before & After,9/18/13 (#5853),R2
AN ENGINEERING MARVEL,Thing,9/18/13 (#5853),R3*
EXPRESSING MYSELF,What Are You Doing?,9/18/13 (#5853),T3
ROARING MOUNTAIN LIONS,Living Things,9/18/13 (#5853),R4
WALL SAFE,Thing,9/18/13 (#5853),BR
SIDEWALK CAFE,Place,9/19/13 (#5854),T1
WORTH EVERY PENNY,Phrase,9/19/13 (#5854),T2
SEARCHING THE SKY FOR CONSTELLATIONS,Fun & Games,9/19/13 (#5854),R1
MONOPOLY MONEY CAN'T BUY ME LOVE,Before & After,9/19/13 (#5854),R2
DINING BY MOONLIGHT,What Are You Doing?,9/19/13 (#5854),R3*
LOOSEY-GOOSEY,Rhyme Time,9/19/13 (#5854),T3
FRIENDLY COMPETITION,Thing,9/19/13 (#5854),R4
ALWAYS IN DEMAND,Phrase,9/19/13 (#5854),BR
SPIN TO WIN,Rhyme Time,9/20/13 (#5855),T1
MAN OF STEEL,Movie Title,9/20/13 (#5855),T2
LET'S TAKE IT TO THE NEXT LEVEL,Phrase,9/20/13 (#5855),R1
SEWING AND SLOT MACHINE,Same Name,9/20/13 (#5855),R2
AUTHENTIC MARIACHI BAND,People,9/20/13 (#5855),R3*
CHAMPION RACEHORSE,Living Thing,9/20/13 (#5855),T3
A TELEVISION EVENT,Show Biz,9/20/13 (#5855),R4
FANCY BOUTIQUE,Place,9/20/13 (#5855),BR
FOR HOTEL GUESTS ONLY,Phrase,9/23/13 (#5856),T1
SUMMER CAMP,Place,9/23/13 (#5856),T2
WILLIAM AND KATE WELCOME BABY BOY,Headline,9/23/13 (#5856),R1
BOWLING ALLEY CAT,Before & After,9/23/13 (#5856),R2
FISHING ON THE HIGH SEAS,Fun & Games,9/23/13 (#5856),R3*
SIGNATURE COCKTAILS,Food & Drink,9/23/13 (#5856),T3
RANDOM ACT OF KINDNESS,Thing,9/23/13 (#5856),R4
OVERHEAD PROJECTOR,Thing,9/23/13 (#5856),BR
A TASTE OF ITALY,Phrase,9/24/13 (#5857),T1
THE BEST NEVER REST,Rhyme Time,9/24/13 (#5857),T2
PAPA'S GOT A BRAND NEW BAG,Song Title,9/24/13 (#5857),R1
JEDI MASTER BEDROOM,Before & After,9/24/13 (#5857),R2
GLIMMERING TURQUOISE WATER,Thing,9/24/13 (#5857),R3*
MEADOWLARK,Living Thing,9/24/13 (#5857),T3
FULL-LENGTH WALL MIRROR,Around the House,9/24/13 (#5857),R4
STOCKY BUILD,Thing,9/24/13 (#5857),BR
I LOVE THE NIGHTLIFE,Song Lyrics,9/25/13 (#5858),T1
CHERRY BLOSSOMS,Living Things,9/25/13 (#5858),T2
COMMERCIAL ARCHITECT,Occupation,9/25/13 (#5858),R1
POKER & POTATO CHIPS,Same Name,9/25/13 (#5858),R2
SIT BACK AND ENJOY THE FLIGHT,Phrase,9/25/13 (#5858),R3*
SNACK PACK,Rhyme Time,9/25/13 (#5858),T3
COMPUTER SOFTWARE,Thing,9/25/13 (#5858),R4
A STROKE OF GENIUS,Phrase,9/25/13 (#5858),BR
POSING FOR A PICTURE,What Are You Doing?,9/26/13 (#5859),T1
QUICK DECISION,Thing,9/26/13 (#5859),T2
CASUAL DINING RESTAURANT,Place,9/26/13 (#5859),R1
COMBINATION LOCK OF HAIR,Before & After,9/26/13 (#5859),R2
AWESOME HELICOPTER TOUR,Event,9/26/13 (#5859),R3*
INTERNET RADIO,Show Biz,9/26/13 (#5859),T3
THE GREATEST OF ALL TIME,Phrase,9/26/13 (#5859),R4
HOUSEHOLD BUDGET,Thing,9/26/13 (#5859),BR
POOLSIDE CABANA,Place,9/27/13 (#5860),T1
MYSTIC HIGHWAY,Song Title,9/27/13 (#5860),T2
CARTOON CHARACTER WITNESS,Before & After,9/27/13 (#5860),R1
BRAD PITT STARS IN WORLD WAR Z,Show Biz,9/27/13 (#5860),R2
I COULD USE SOME HELP PACKING,Phrase,9/27/13 (#5860),R3*
MOUNTAIN CLIMBER,Person,9/27/13 (#5860),T3
MAKING A TRIPLE PLAY,What Are You Doing?,9/27/13 (#5860),R4
BEHIND SCHEDULE,Phrase,9/27/13 (#5860),BR
THE FIRST DAY OF SCHOOL,Event,9/30/13 (#5861),T1
MYTHS AND LEGENDS,Things,9/30/13 (#5861),T2
IS THIS GOING TO BE ON THE TEST?,Phrase,9/30/13 (#5861),R1
CALCULUS CHEMISTRY CIVICS,Same Letter,9/30/13 (#5861),R2
LOOKING FOR ADVENTURE,What Are You Doing?,9/30/13 (#5861),R3*
SCENTED CANDLES,Around the House,9/30/13 (#5861),T3
THE CHRONICLES OF NARNIA,Title,9/30/13 (#5861),R4
SECRET ADMIRER,Person,9/30/13 (#5861),R5
PAISLEY DESIGN,Thing,9/30/13 (#5861),BR
GRADING EXAMS,What Are You Doing?,10/1/13 (#5862),T1
SLIM AND TRIM,Rhyme Time,10/1/13 (#5862),T2
FACULTY LOUNGE SINGER,Before & After,10/1/13 (#5862),R1
RAISE YOUR HAND IF YOU KNOW THE ANSWER,Phrase,10/1/13 (#5862),R2
HOME MOVIES,Things,10/1/13 (#5862),PP
PACIFIC ISLAND PARADISE,Place,10/1/13 (#5862),R3*
MR. HOLLAND'S OPUS,Movie Title,10/1/13 (#5862),T3
LOOSE-LEAF NOTEBOOK,Thing,10/1/13 (#5862),R4
COLOR-SAFE BLEACH,Around the House,10/1/13 (#5862),R5
BONGO DRUMS,Things,10/1/13 (#5862),BR
SCIENCE LAB,Place,10/2/13 (#5863),T1
LEXINGTON KENTUCKY,On the Map,10/2/13 (#5863),T2
ELECTRIC PENCIL SHARPENER,Thing,10/2/13 (#5863),R1
LEONARDO DICAPRIO STARS IN THE GREAT GATSBY,Show Biz,10/2/13 (#5863),R2
CLASSIC ITALIAN LASAGNA,Food & Drink,10/2/13 (#5863),R3*
ALBERT EINSTEIN,Proper Name,10/2/13 (#5863),T3
SOLVING WORD PROBLEMS,What Are You Doing?,10/2/13 (#5863),R4
POWER PACK,Thing,10/2/13 (#5863),BR
TEACH YOUR CHILDREN WELL,Song Lyrics,10/3/13 (#5864),T1
CURSIVE HANDWRITING,Thing,10/3/13 (#5864),T2
GRAHAM CRACKER PIE CRUST,Food & Drink,10/3/13 (#5864),R1
TERM PAPER OR PLASTIC,Before & After,10/3/13 (#5864),R2
BAYWATCH,Title,10/3/13 (#5864),PP
PICKING THE PERFECT POSTCARD,What Are You Doing?,10/3/13 (#5864),R3*
TO KILL A MOCKINGBIRD,Title,10/3/13 (#5864),T3
CLASS ISN'T OVER YET,Phrse,10/3/13 (#5864),R4
A WHOLE HONEYDEW,Food & Drink,10/3/13 (#5864),BR
SEIZE THE DAY BOYS,Movie Quote,10/4/13 (#5865),T1
DESK ORGANIZER,Thing,10/4/13 (#5865),T2
PROGRAMMABLE COFFEEMAKER,In the Kitchen,10/4/13 (#5865),R1
HOME SWEET HOME FRIES,Before & After,10/4/13 (#5865),R2
IS IT SPRING BREAK ALREADY?,Phrase,10/4/13 (#5865),R3*
GYMNASTICS COACH,Occupation,10/4/13 (#5865),T3
ERNEST HEMINGWAY,Proper Name,10/4/13 (#5865),R4
FIXER-UPPER,Thing,10/4/13 (#5865),BR
JACKSON MISSISSIPPI,On the Map,10/7/13 (#5866),T1
WELCOME MAT,Around the House,10/7/13 (#5866),T2
BABY & METEOR SHOWER,Same Name,10/7/13 (#5866),R1
PECAN PIE TOPPED WITH WHIPPED CREAM,Food & Drink,10/7/13 (#5866),R2
THERE WAS NEVER ANY DOUBT,Phrase,10/7/13 (#5866),R3*
TRADITIONS AND MANNERS,Things,10/7/13 (#5866),T3
THANK GOD I'M A COUNTRY BOY,Song Title,10/7/13 (#5866),R4
OUT OF POCKET,Phrase,10/7/13 (#5866),BR
MAKING LEMONADE,What Are You Doing?,10/8/13 (#5867),T1
GROCERY LIST,Around the House,10/8/13 (#5867),T2
DALLAS COWBOYS CHEERLEADERS,People,10/8/13 (#5867),R1
SLURPING STRAWBERRY SMOOTHIES,Same Letter,10/8/13 (#5867),R2
PAGER,Thing,10/8/13 (#5867),PP
DANCING TO THE BEAT,Fun & Games,10/8/13 (#5867),R3*
TOUGH COMPETITION,Thing,10/8/13 (#5867),T3
WAY TOO HOT TO HANDLE,Phrase,10/8/13 (#5867),R4
OAK PLANK,Thing,10/8/13 (#5867),BR
BELLE OF THE BALL,Person,10/9/13 (#5868),T1
MAKE EVERY SECOND COUNT,Phrase,10/9/13 (#5868),T2
DRINKING SWEET TEA ON THE PORCH,What Are You Doing?,10/9/13 (#5868),R1
MONTEREY JACK AND JILL,Before & After,10/9/13 (#5868),R2
HEAVEN IS A PLACE ON EARTH,Song Lyrics,10/9/13 (#5868),R3*
MONTGOMERY ALABAMA,On the Map,10/9/13 (#5868),T3
PLAYING HORSESHOES,Fun & Games,10/9/13 (#5868),R4
WONDER WOMAN,Character,10/9/13 (#5868),R5
AVID HOCKEY FAN,Person,10/9/13 (#5868),BR
NICE OF YOU TO NOTICE,Phrase,10/10/13 (#5869),T1
NEW ORLEANS JAZZ,Show Biz,10/10/13 (#5869),T2
AWARD-WINNING BARBECUE SAUCE,Food & Drink,10/10/13 (#5869),R1
DAIRY FREE PARKING,Before & After,10/10/13 (#5869),R2
I GET YOUR DRIFT,Phrase,10/10/13 (#5869),PP
SOOTHING SPA SERVICES,Same Letter,10/10/13 (#5869),R3*
DOORS AND FLOORS,Rhyme Time,10/10/13 (#5869),T3
GREAT AUNTS AND UNCLES,People,10/10/13 (#5869),R4
WOODEN BUNK BEDS,Things,10/10/13 (#5869),BR
BEAUTY AND WELLNESS,Things,10/11/13 (#5870),T1
DOLLY PARTON,Proper Name,10/11/13 (#5870),T2
ALL THE WORLD'S A STAGE FRIGHT,Before & After,10/11/13 (#5870),R1
SUMMERTIME SUMMERTIME SUM SUM SUMMERTIME,Song Lyrics,10/11/13 (#5870),R2
IT FEELS AS WARM AS BATHWATER,Phrase,10/11/13 (#5870),R3*
CHESS PLAYER,Person,10/11/13 (#5870),T3
SHOPPING FOR BARGAINS,What Are You Doing?,10/11/13 (#5870),R4
MURKY WATER,Thing,10/11/13 (#5870),BR
BRING THE PICNIC BASKET,Phrase,10/14/13 (#5871),T1
SPECTATOR SPORT,Fun & Games,10/14/13 (#5871),T2
A LITTER OF SIAMESE KITTENS,Living Things,10/14/13 (#5871),R1
STOP IN THE NAME OF LOVE HANDLES,Before & After,10/14/13 (#5871),R2
ALL MY BAGS ARE PACKED I'M READY TO GO,Song Lyrics,10/14/13 (#5871),R3*
CEREAL BOX,Thing,10/14/13 (#5871),T3
FIERCE COMPETITOR,Person,10/14/13 (#5871),R4
CARVED BY HAND,Phrase,10/14/13 (#5871),BR
SMOOTH SAILING,Phrase,10/15/13 (#5872),T1
BRIDAL REGISTRY,Thing,10/15/13 (#5872),T2
WHOLESOME HOME-COOKED MEAL,Food & Drink,10/15/13 (#5872),R1
CRISP CHILLED CUCUMBERS,Same Letter,10/15/13 (#5872),R2
ROLODEX,Thing,10/15/13 (#5872),PP
LIGHTING THE TIKI TORCHES,What Are You Doing?,10/15/13 (#5872),R3*
A REAL GO-GETTER,Person,10/15/13 (#5872),T3
TWELVE-SPEED BLENDER,In the Kitchen,10/15/13 (#5872),R4
BORA BORA,On the Map,10/15/13 (#5872),BR
TAKE A BREAK,Rhyme Time,10/16/13 (#5873),T1
FRENCH MANICURE,Thing,10/16/13 (#5873),T2
GRILLED CHEESE SANDWICH,Food & Drink,10/16/13 (#5873),R1
VICTORIA'S SECRET COMPARTMENT,Before & After,10/16/13 (#5873),R2
GUIDED SNORKELING TRIP,Event,10/16/13 (#5873),R3*
WILD STALLIONS,Living Things,10/16/13 (#5873),T3
THE PROOF IS IN THE PUDDING,Phrase,10/16/13 (#5873),R4
CHURCH PEW,Thing,10/16/13 (#5873),BR
CARRY-ON LUGGAGE,Thing,10/17/13 (#5874),T1
SUNDAY MATINEE,Show Biz,10/17/13 (#5874),T2
GETTING DOWN TO THE NITTY-GRITTY,What Are You Doing?,10/17/13 (#5874),R1
IRON MAN OF THE YEAR,Before & After,10/17/13 (#5874),R2
DEPOSIT SLIP,Thing,10/17/13 (#5874),PP
SHIP'S CAPTAIN AND FIRST MATE,People,10/17/13 (#5874),R3*
THE MAIN COURSE,Food & Drink,10/17/13 (#5874),T3
WINNING A NARROW VICTORY,Event,10/17/13 (#5874),R4
GLOSSARY AND INDEX,Things,10/17/13 (#5874),BR
MAKING RESERVATIONS,What Are You Doing?,10/18/13 (#5875),T1
NEW KID IN TOWN,Person,10/18/13 (#5875),T2
MARCHING AND RUBBER BAND,Same Name,10/18/13 (#5875),R1
SPICY SALMON WITH CARAMELIZED ONIONS,Food & Drink,10/18/13 (#5875),R2
I'M SITTING ON TOP OF THE WORLD,Phrase,10/18/13 (#5875),R3*
HAN SOLO AND CHEWBACCA,Characters,10/18/13 (#5875),T3
GOOD TABLE MANNERS,Things,10/18/13 (#5875),R4
HARPSICHORD,Thing,10/18/13 (#5875),BR
DESERT OASIS,Place,10/21/13 (#5876),T1
ARMORED CAR,Thing,10/21/13 (#5876),T2
MYSTERIOUS MASTER MAGICIAN,Person,10/21/13 (#5876),R1
STEPHEN KING'S UNDER THE DOME,Author/Title,10/21/13 (#5876),R2
THIS IS A MOMENTOUS OCCASION,Phrase,10/21/13 (#5876),R3*
PERSONAL ASSISTANT,Occupation,10/21/13 (#5876),T3
THE GREAT OZ HAS SPOKEN!,Movie Quote,10/21/13 (#5876),R4
ANTIQUE WATCH,Thing,10/21/13 (#5876),BR
YOU WEAR IT WELL,Song Lyrics,10/22/13 (#5877),T1
DISPLAY EXHIBIT,Around the House,10/22/13 (#5877),T2
NICKELS DIMES AND QUARTERS,Things,10/22/13 (#5877),R1
RELIEF AND WATER PITCHER,Same Name,10/22/13 (#5877),R2
WATCHING THE SUNRISE FROM THE DECK,What Are You Doing?,10/22/13 (#5877),R3*
RED ROCK CANYON,On the Map,10/22/13 (#5877),T3
FAVORITE THEME SONG,Show Biz,10/22/13 (#5877),R4
IT'S OUT OF THE WAY,Thing,10/22/13 (#5877),BR
WE'RE ON A ROLL,Phrase,10/23/13 (#5878),T1
FANCY DRESS SHOES,Things,10/23/13 (#5878),T2
CELEBRITY GOLF TOURNAMENT,Event,10/23/13 (#5878),R1
NEON LIGHT UP MY LIFE,Before & After,10/23/13 (#5878),R2
CRUISING IN A CATAMARAN,Fun & Games,10/23/13 (#5878),R3*
PINBALL WIZARD,Song Title,10/23/13 (#5878),T3
SUPERHERO HEADQUARTERS,Place,10/23/13 (#5878),R4
BAKED HAM,Food & Drink,10/23/13 (#5878),BR
STACKS OF CHIPS,Things,10/24/13 (#5879),T1
LOVE IS IN THE AIR,Song Title,10/24/13 (#5879),T2
WRITING ON A COCKTAIL NAPKIN,What Are You Doing?,10/24/13 (#5879),R1
MELROSE PLACE YOUR BETS,Before & After,10/24/13 (#5879),R2
CRISPY COCONUT CHICKEN,Food & Drink,10/24/13 (#5879),R3*
CHEMICAL ENGINEER,Occupation,10/24/13 (#5879),T3
THE PLAY OF THE DAY,Rhyme Time,10/24/13 (#5879),R4
DOG PARK,Place,10/24/13 (#5879),BR
FRANK SINATRA,Proper Name,10/25/13 (#5880),T1
CIRCUS PERFORMERS,People,10/25/13 (#5880),T2
DIPLOMAS HANGING ON THE WALL,Things,10/25/13 (#5880),R1
COFFEE SHOP TILL YOU DROP,Before & After,10/25/13 (#5880),R2
GUACAMOLE MADE TABLESIDE,Food & Drink,10/25/13 (#5880),R3*
RASPBERRY BERET,Song Title,10/25/13 (#5880),T3
A SIGHT FOR SORE EYES,Phrase,10/25/13 (#5880),R4
EGYPTIAN PHARAOH,Person,10/25/13 (#5880),BR
BE AFRAID BE VERY AFRAID,Movie Quote,10/28/13 (#5881),T1
LIFELIKE STATUE,Thing,10/28/13 (#5881),T2
HIGH SCHOOL CHEMISTRY TEACHER,Occupation,10/28/13 (#5881),R1
POKER NIGHT OF THE LIVING DEAD,Before & After,10/28/13 (#5881),R2
BLUE BIKINI BOTTOMS,Same Letter,10/28/13 (#5881),R3*
FOOTBALL STADIUM,Place,10/28/13 (#5881),T3
SAY THE MAGIC WORD,Phrase,10/28/13 (#5881),R4
GOLFING BUDDY,Person,10/28/13 (#5881),BR
TRICK-OR-TREATING,Fun & Games,10/29/13 (#5882),T1
SUSPICIOUS CHARACTER,Person,10/29/13 (#5882),T2
THE CREEPY BATES MOTEL IN PSYCHO,Place,10/29/13 (#5882),R1
SCARY SUSPENSEFUL STORY,Same Letter,10/29/13 (#5882),R2
JAWS,Title,10/29/13 (#5882),PP
IT MUST BE SEEN TO BE BELIEVED,Phrase,10/29/13 (#5882),R3*
CALLING THE SHOTS,What Are You Doing?,10/29/13 (#5882),T3
THAT'S THE WAY TO PLAY,Rhyme Time,10/29/13 (#5882),R4
JOLLY GOOD FELLOW,Person,10/29/13 (#5882),BR
ALFRED HITCHCOCK,Proper Name,10/30/13 (#5883),T1
YOUR WORST NIGHTMARE,Thing,10/30/13 (#5883),T2
VERY SUPERSTITIOUS,Song Lyrics,10/30/13 (#5883),R1
BLUSHING BRIDE OF FRANKENSTEIN,Before & After,10/30/13 (#5883),R2
REQUESTING A LATE CHECKOUT,What Are You Doing?,10/30/13 (#5883),R3*
GIGANTIC INSECTS,Living Things,10/30/13 (#5883),T3
I THINK I CAN I THINK I CAN,Quotation,10/30/13 (#5883),R4
RIPE FOR THE PICKING,Phrase,10/30/13 (#5883),R5
GOURMET POPCORN,Food & Drink,10/30/13 (#5883),BR
COSTUME PARTY,Event,10/31/13 (#5884),T1
BUFFALO BILLS,Proper Name,10/31/13 (#5884),T2
INVASION OF THE BODY SNATCHER,Movie Title,10/31/13 (#5884),R1
GOBLINS GREMLINS & GARGOYLES,Same Letter,10/31/13 (#5884),R2
WEB BROWSER,Thing,10/31/13 (#5884),PP
UNSPOILED NATURAL WONDERS,Things,10/31/13 (#5884),R3*
FREDDY KRUEGER,Character,10/31/13 (#5884),T3
FRESH OUT OF THE OVEN,Phrase,10/31/13 (#5884),R4
CHOOSY KIDS,People,10/31/13 (#5884),BR
HERE'S JOHNNY,Quotation,11/1/2013 (#5885),T1
FREAKY FRIDAY,Movie Title,11/1/2013 (#5885),T2
PUMPKIN CARVING CONTEST,Event,11/1/2013 (#5885),R1
A BLACK CAT CROSSING YOUR PATH,Living Thing,11/1/2013 (#5885),R2
THE FINEST AMAZING AMENTIES,Things,11/1/2013 (#5885),R3*
SHAPE-SHIFTER,Character,11/1/2013 (#5885),T3
CHOCOLATE CANDY,Food & Drink,11/1/2013 (#5885),R4
I CAN'T HELP MYSELF,Phrase,11/1/2013 (#5885),R5
JUMPING AHEAD,What Are You Doing?,11/1/2013 (#5885),BR
LANSING MICHIGAN,On the Map,11/4/2013 (#5886),T1
QUARTERBACK SNEAK,Fun & Games,11/4/2013 (#5886),T2
THE SIXTH SENSE OF DIRECTION,Before & After,11/4/2013 (#5886),R1
HOGWARTS SCHOOL OF WITCHCRAFT AND WIZARDRY,Place,11/4/2013 (#5886),R2
FUN FOR THE ENTIRE FAMILY,Phrase,11/4/2013 (#5886),R3*
COSTUME DESIGNER,Show Biz,11/4/2013 (#5886),T3
FINISHING IN FIRST PLACE,Event,11/4/2013 (#5886),R4
WORKS LIKE A CHARM,Phrase,11/4/2013 (#5886),BR
AN AMERICAN ICON,Thing,11/5/2013 (#5887),T1
SCRAPBOOKING,Fun & Games,11/5/2013 (#5887),T2
INDIANAPOLIS MOTOR SPEEDWAY,Landmark,11/5/2013 (#5887),R1
A FRIEND OF THE FAMILY,Person,11/5/2013 (#5887),R2
YOU'VE GOT SPUNK,Phrase,11/5/2013 (#5887),PP
SAILING SURFING & SUNSETS,Same Letter,11/5/2013 (#5887),R3*
TOASTER OVEN,In the Kitchen,11/5/2013 (#5887),T3
RULING THE ROOST,What Are You Doing?,11/5/2013 (#5887),R4
SWAN DIVE,Thing,11/5/2013 (#5887),BR
FOR MOM AND APPLE PIE,Phrase,11/6/2013 (#5888),T1
NASHVILLE TENNESSEE,On the Map,11/6/2013 (#5888),T2
I'M LATE I'M LATE FOR A VERY IMPORTANT DATE,Quotation,11/6/2013 (#5888),R1
BROAD JUMP TO CONCLUSIONS,Before & After,11/6/2013 (#5888),R2
BEAUTIFUL RUGGED COASTLINE,Place,11/6/2013 (#5888),R3*
PASSING THE TORCH,What Are You Doing?,11/6/2013 (#5888),T3
A MAN-TO-MAN TALK,Thing,11/6/2013 (#5888),R4
BOUNTIFUL HARVEST,Thing,11/6/2013 (#5888),BR
LET'S GET TO WORK,Phrase,11/7/2013 (#5889),T1
NO MUSS NO FUSS,Rhyme Time,11/7/2013 (#5889),T2
ANOTHER ONE BITES THE DUST,Song Lyrics,11/7/2013 (#5889),R1
MIRROR MIRROR ON THE WALL STREET JOURNAL,Before & After,11/7/2013 (#5889),R2
MINIVAN,Thing,11/7/2013 (#5889),PP
NEW STAMPS IN MY PASSPORT,Things,11/7/2013 (#5889),R3*
PERSON OF INTEREST,TV Title,11/7/2013 (#5889),T3
LOS ANGELES DODGERS,Proper Name,11/7/2013 (#5889),R4
A SPECIAL OCCASION,Event,11/7/2013 (#5889),R5
BOUILLON CUBE,Food & Drink,11/7/2013 (#5889),BR
BUFFALO NEW YORK,On the Map,11/8/2013 (#5890),T1
KNITTING CIRCLE,People,11/8/2013 (#5890),T2
BLUEBERRY BANANA BREAD,Same Letter,11/8/2013 (#5890),R1
SHARK TANK TOP,Before & After,11/8/2013 (#5890),R2
SUMMER PICNIC ON THE BEACH,Event,11/8/2013 (#5890),R3*
HOME SWEET HOME,Phrase,11/8/2013 (#5890),T3
KNOCK KNOCK WHO'S THERE?,Quotation,11/8/2013 (#5890),R4
WATERPROOF MASCARA,Thing,11/8/2013 (#5890),R5
GO ASK YOUR FATHER,Phrase,11/8/2013 (#5890),BR
HOLIDAY SHOPPING,What Are You Doing?,11/11/2013 (#5891),T1
DECORATED VETERANS,People,11/11/2013 (#5891),T2
FATHER FIGURE OF SPEECH,Before & After,11/11/2013 (#5891),R1
SUGAR AND SPICE AND EVERYTHING NICE,Rhyme Time,11/11/2013 (#5891),R2
RELAXATION AND REJUVENATION,Things,11/11/2013 (#5891),R3*
SAN FRANCISCO,On the Map,11/11/2013 (#5891),T3
SHARE AND SHARE ALIKE,Phrase,11/11/2013 (#5891),R4
HOMING PIGEONS,Living Things,11/11/2013 (#5891),R5
BRIGHT AND BUBBLY,Phrase,11/11/2013 (#5891),BR
LOVE IS ALL YOU NEED,Song Lyrics,11/12/2013 (#5892),T1
COOL AS A CUCUMBER,Phrase,11/12/2013 (#5892),T2
HAVING MY PALM READ,What Are You Doing?,11/12/2013 (#5892),R1
RULES OF THE ROAD RUNNER,Before & After,11/12/2013 (#5892),R2
FIRST-TIME SURFING LESSONS,Fun & Games,11/12/2013 (#5892),R3*
STONE FIREPLACE,Around the House,11/12/2013 (#5892),T3
COMFORTABLE LEAD,Thing,11/12/2013 (#5892),R4
CORNISH GAME HEN,Food & Drink,11/12/2013 (#5892),R5
WHAT A HODGEPODGE,Phrase,11/12/2013 (#5892),BR
I CAN HARDLY WAIT,Phrase,11/13/2013 (#5893),T1
BEN STILLER,Proper Name,11/13/2013 (#5893),T2
PRIMPING AND PAMPERING,What Are You Doing?,11/13/2013 (#5893),R1
PAC-MAN OF MY DREAMS,Before & After,11/13/2013 (#5893),R2
SAND RIGHT OUTSIDE YOUR DOOR,Thing,11/13/2013 (#5893),R3*
EXTRA CLOSET SPACE,Around the House,11/13/2013 (#5893),T3
THE GOLDEN GOOSE,Character,11/13/2013 (#5893),R4
PAVED BIKEWAY,Place,11/13/2013 (#5893),BR
LEAN ON ME,Song Title,11/14/2013 (#5894),T1
IT'S AS SIMPLE AS THAT,Phrase,11/14/2013 (#5894),T2
RED PLAID FLANNEL SHIRT,Around the House,11/14/2013 (#5894),R1
RACHAEL RAY OF SUNSHINE,Before & After,11/14/2013 (#5894),R2
HORSEBACK RIDING IN THE JUNGLE,Fun & Games,11/14/2013 (#5894),R3*
AN ENORMOUS EFfORT,Thing,11/14/2013 (#5894),T3
CINNAMON STICKY BUNS,Food & Drink,11/14/2013 (#5894),R4
HOBBYIST,Person,11/14/2013 (#5894),BR
PLEASED TO MEET YOU,Phrase,11/15/2013 (#5895),T1
SCHOOL AUDITORIUM,Place,11/15/2013 (#5895),T2
LATE-NIGHT TALK SHOW HOST,Person,11/15/2013 (#5895),R1
A PINCH OF SALT LAKE CITY,Before & After,11/15/2013 (#5895),R2
UNWINDING WITH MY FAVORITE WATERSPORT,What Are You Doing?,11/15/2013 (#5895),R3*
ACHIEVEMENT AWARD,Thing,11/15/2013 (#5895),T3
PROUD GRANDPARENTS,People,11/15/2013 (#5895),R4
USE IT OR LOSE IT,Rhyme Time,11/15/2013 (#5895),R5
OVERWHELMING SUPPORT,Thing,11/15/2013 (#5895),BR
THE GIFT OF GIVING,Phrase,11/18/2013 (#5896),T1
HOMETOWN HERO,Person,11/18/2013 (#5896),T2
TOASTED ENGLISH MUFFIN WITH BUTTER,Food & Drink,11/18/2013 (#5896),R1
MENTAL BLOCK PARTY,Before & After,11/18/2013 (#5896),R2
WALKING ON A PRISTINE WHITE BEACH,What Are You Doing?,11/18/2013 (#5896),R3*
PRECIOUS METALS,Things,11/18/2013 (#5896),T3
DRAWING NAMES FROM A HAT,Fun & Games,11/18/2013 (#5896),R4
FOREVER YOUNG,Phrase,11/18/2013 (#5896),BR
GOOD VIBRATIONS,Song Title,11/19/2013 (#5897),T1
LAST-MINUTE DECISION,Thing,11/19/2013 (#5897),T2
DEPARTMENT STORE CHAIN REACTION,Before & After,11/19/2013 (#5897),R1
ONE STEP AHEAD OF THE COMPETITION,Phrase,11/19/2013 (#5897),R2
PALM TREES & TROPICAL FLOWERS,Living Things,11/19/2013 (#5897),R3*
LEANN RIMES,Proper Name,11/19/2013 (#5897),T3
COMING OUT ON TOP,What Are You Doing?,11/19/2013 (#5897),R4
OBJECTIVE OPINION,Thing,11/19/2013 (#5897),BR
CRANBERRY SAUCE,Food & Drink,11/20/2013 (#5898),T1
THE BALDWIN BROTHERS,Family,11/20/2013 (#5898),T2
THE SPACE NEEDLE IN SEATTLE,Landmark,11/20/2013 (#5898),R1
BOWS RIBBONS AND WRAPPING PAPER,Around the House,11/20/2013 (#5898),R2
